DateTimeIndex,Month,Year,Subsector,Sales
2012-07-01,Jul,2012,Furniture and Home Furnishings Stores,34137
2012-07-01,Jul,2012,Gasoline Stations,46658
2012-07-01,Jul,2012,General Merchandise Stores,152202
2012-07-01,Jul,2012,Health and Personal Care Stores,40714
2012-07-01,Jul,2012,Miscellaneous Store Retailers,15512
2012-07-01,Jul,2012,Motor Vehicle and Parts Dealers,277196
2012-07-01,Jul,2012,Nonstore Retailers,57651
2012-07-01,Jul,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11672
2012-07-01,Jul,2012,Unknown,2061658
2012-08-01,Aug,2012,Building Material and Garden Equipment and Supplies Dealers,48304
2012-08-01,Aug,2012,Clothing and Clothing Accessories Stores,54654
2012-08-01,Aug,2012,Electronics and Appliance Stores,16948
2012-08-01,Aug,2012,Food and Beverage Retailers,151102
2012-08-01,Aug,2012,Food Services and Drinking Places,125053
2012-08-01,Aug,2012,Furniture and Home Furnishings Stores,36259
2012-08-01,Aug,2012,Gasoline Stations,50195
2012-08-01,Aug,2012,General Merchandise Stores,161040
2012-08-01,Aug,2012,Health and Personal Care Stores,42136
2012-08-01,Aug,2012,Miscellaneous Store Retailers,16979
2012-08-01,Aug,2012,Motor Vehicle and Parts Dealers,298298
2012-08-01,Aug,2012,Nonstore Retailers,62875
2012-08-01,Aug,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",14613
2012-08-01,Aug,2012,Unknown,2176789
2012-09-01,Sep,2012,Building Material and Garden Equipment and Supplies Dealers,44307
2012-09-01,Sep,2012,Clothing and Clothing Accessories Stores,48669
2012-09-01,Sep,2012,Electronics and Appliance Stores,15652
2012-09-01,Sep,2012,Food and Beverage Retailers,144690
2012-09-01,Sep,2012,Food Services and Drinking Places,117887
2012-09-01,Sep,2012,Furniture and Home Furnishings Stores,33363
2012-09-01,Sep,2012,Gasoline Stations,47201
2012-09-01,Sep,2012,General Merchandise Stores,147975
2012-09-01,Sep,2012,Health and Personal Care Stores,39212
2012-09-01,Sep,2012,Miscellaneous Store Retailers,15398
